Specimen,Locality,Actual,Majority Vote,Combined posterior probability,P
NHMUK PV R 37950,Woodeaton,Dromaeosaur  A,Dromaeosaur  A,Dromaeosaur  A,0.86
NHMUK PV R 37953,Woodeaton,Dromaeosaur  A,Dromaeosaur  A,Dromaeosaur  A,0.87
GCRLM GTUBE 67,Hornsleasow,Dromaeosaur  B,Dromaeosaur  B,Dromaeosaur  B,1
GLRCM G10022,Hornsleasow,Dromaeosaur  B,Dromaeosaur  B,Dromaeosaur  B,1
GLRCM G100-64,Hornsleasow,Dromaeosaur  B,Dromaeosaur  B,Dromaeosaur  B,1
GLRCM G10-37,Hornsleasow,Dromaeosaur  B,Dromaeosaur  B,Dromaeosaur  B,0.98
GLRCM G12-28,Hornsleasow,Dromaeosaur  B,Dromaeosaur  B,Dromaeosaur  B,1
GLRCM G14-22,Hornsleasow,Dromaeosaur  B,Dromaeosaur  B,Dromaeosaur  B,1
GLRCM G167-24,Hornsleasow,Dromaeosaur  B,Dromaeosaur  B,Dromaeosaur  B,1
GLRCM G68-1,Hornsleasow,Dromaeosaur  B,Dromaeosaur  B,Dromaeosaur  B,0.98
GLRCM G7.219-3,Hornsleasow,Dromaeosaur  B,Dromaeosaur  B,Dromaeosaur  B,1
GLRCM GHQ 104 C -1,Hornsleasow,Dromaeosaur  B,Dromaeosaur  B,Dromaeosaur  B,1
GLRCM GTEMP3061,Hornsleasow,Dromaeosaur  B,Dromaeosaur  B,Dromaeosaur  B,1
GLRCM GX,Hornsleasow,Dromaeosaur  B,Dromaeosaur  B,Dromaeosaur  B,1
NHMUK PV R 36771,Watton Cliff,Dromaeosaur  B,Dromaeosaur  B,Dromaeosaur  B,1
NHMUK PV R 36778,Watton Cliff,Dromaeosaur  B,Dromaeosaur  B,Dromaeosaur  B,0.98
NHMUK PV R 37909,Kirtlington,Dromaeosaur  B,Dromaeosaur  B,Dromaeosaur  B,0.98
NHMUK PV R 37911,Kirtlington,Dromaeosaur  B,Dromaeosaur  B,Dromaeosaur  B,0.99
NHMUK PV R 37912,Kirtlington,Dromaeosaur  B,Dromaeosaur  B,Dromaeosaur  B,0.99
NHMUK PV R 37913,Kirtlington,Dromaeosaur  B,Dromaeosaur  B,Dromaeosaur  B,0.96
NHMUK PV R 37914,Kirtlington,Dromaeosaur  B,Dromaeosaur  B,Dromaeosaur  B,0.97
NHMUK PV R 37915,Kirtlington,Dromaeosaur  B,Dromaeosaur  B,Dromaeosaur  B,1
NHMUK PV R 37916,Kirtlington,Dromaeosaur  B,Dromaeosaur  B,Dromaeosaur  B,0.97
NHMUK PV R 37917,Kirtlington,Dromaeosaur  B,Dromaeosaur  B,Dromaeosaur  B,1
NHMUK PV R 37918,Kirtlington,Dromaeosaur  B,Dromaeosaur  B,Dromaeosaur  B,1
NHMUK PV R 37919,Kirtlington,Dromaeosaur  B,Dromaeosaur  B,Dromaeosaur  B,1
NHMUK PV R 37921,Kirtlington,Dromaeosaur  B,Dromaeosaur  B,Dromaeosaur  B,1
NHMUK PV R 37922,Kirtlington,Dromaeosaur  B,Dromaeosaur  B,Dromaeosaur  B,0.93
NHMUK PV R 37923,Kirtlington,Dromaeosaur  B,Dromaeosaur  B,Dromaeosaur  B,0.83
NHMUK PV R 37930,Woodeaton,Dromaeosaur  B,Dromaeosaur  B,Dromaeosaur  B,0.97
NHMUK PV R 37931,Woodeaton,Dromaeosaur  B,Dromaeosaur  B,Dromaeosaur  B,1
NHMUK PV R 37933,Woodeaton,Dromaeosaur  B,Dromaeosaur  B,Dromaeosaur  B,1
NHMUK PV R 37934,Woodeaton,Dromaeosaur  B,Dromaeosaur  B,Dromaeosaur  B,1
NHMUK PV R 37936,Woodeaton,Dromaeosaur  B,Dromaeosaur  B,Dromaeosaur  B,1
NHMUK PV R 37937,Woodeaton,Dromaeosaur  B,Dromaeosaur  B,Dromaeosaur  B,0.92
NHMUK PV R 37938,Woodeaton,Dromaeosaur  B,Dromaeosaur  B,Dromaeosaur  B,0.59
NHMUK PV R 37943,Woodeaton,Dromaeosaur  B,Troodontidae,Troodontidae,0.58
NHMUK PV R 37951,Woodeaton,Dromaeosaur  B,Dromaeosaur  B,Dromaeosaur  B,0.96
NHMUK PV R 37952,Woodeaton,Dromaeosaur  B,Dromaeosaur  B,Dromaeosaur  B,0.73
NHMUK PV R XX_H5,Hornsleasow,Dromaeosaur  B,Dromaeosaur  B,Dromaeosaur  B,0.99
NHMUK PV R 36779,Watton Cliff,Dromaeosaur  C,Dromaeosaur  B,Dromaeosaur  B,0.63
NHMUK PV R 37058,Woodeaton,Dromaeosaur  C,Dromaeosaur  B,Dromaeosaur  B,0.57
NHMUK PV R 37920,Kirtlington,Dromaeosaur  C,Dromaeosaur  C,Dromaeosaur  C,0.61
GLRCM G167-32,Hornsleasow,Therizinosauria,Dromaeosaur  B,Dromaeosaur  B,0.99
GLRCM G8-23,Hornsleasow,Troodontidae,Dromaeosaur  B,Dromaeosaur  B,0.98
